trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9999983471078934}",25,0,-119.43260345569172,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9999933884370376}",20,0,-73.8478162192168,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9999851240038249}",20,0,-128.54124530147308,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9999735538355757}",20,0,-159.6057256059938,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.9999586779705386}",20,0,-132.27610653856942,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9999404964578898}",20,0,-85.3566430678916,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9999190093577338}",25,0,-182.94226205488033,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.999894216741102}",30,0,-316.65468519099437,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 5}",0
9,False,"{'a': 0.05, 'e': 0.9998661186899536}",20,0,-106.16799824891426,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.9998347152971745}",20,0,-131.98744938336415,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.9998000066665778}",20,10,-94.80185956482494,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.05, 'e': 0.9997619929129026}",25,0,-158.10602540210246,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.9997206741618141}",30,0,-86.21993514720464,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.9996760505499034}",20,0,-92.12621211765935,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.9996281222246863}",25,0,-97.72671589445807,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.9995768893446036}",30,0,-164.985665390217,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.9995223520790202}",25,0,-69.49531932543557,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.9994645106082245}",20,0,-101.64614728260376,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.9994033651234279}",35,0,-169.47627822183375,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.05, 'e': 0.999338915826764}",20,0,-111.53778441523973,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.9992711629312886}",25,0,-188.27487951386067,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.05, 'e': 0.9992001066609779}",20,0,-106.23653731600326,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.9991257472507288}",30,0,-143.1612931353471,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.05, 'e': 0.9990480849463573}",20,0,-74.92572828022364,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.9989671200045982}",25,0,-96.38499411056823,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
