trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.05476578226907,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.89606191813355,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.8572893767346,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.377803094206,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.20047569534471,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.98427872747513,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,3,-119.03600179905533,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.2112159726814,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.09231616180256,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.0141733872314,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.00332144839294,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.65773768270651,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.64296397319856,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.17510509194277,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.74415246966922,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-93.2784172254329,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.4286563925345,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.09035683639589,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.90315179544947,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.9720273167625,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.78620355037441,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.9792656103143,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.82891426905545,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.5358524785394,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.55484317213684,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.51442543942237,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.93265029817542,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.88419224757484,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.15453899699426,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.63865927048276,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
